0.002,0.0171398,0.606763,0.184104,0.0156816,0.606727,0.150132,0,0,0,-1.47542,0.896389,0.0176141,0.0171674,0.606768,0.184127,0.000329924,-0.456133,-0.379691,0.767809,-0.0288704,-0.0792831,-0.0909492,
0.004,0.0171339,0.606766,0.184104,0.0156759,0.60673,0.150138,-0.00295085,0.00179278,3.52281e-05,-1.42226,0.863272,0.0157834,0.0171673,0.606769,0.184127,0.000659848,-0.465793,-0.386409,0.757409,-0.0297283,-0.0829003,-0.0899545,
0.006,0.0171223,0.606773,0.184104,0.0156648,0.606737,0.15015,-0.00579537,0.00351932,6.67949e-05,-1.36938,0.831301,0.0150068,0.0171674,0.606768,0.184127,0.000989772,-0.473286,-0.364969,0.748477,-0.0296251,-0.0855291,-0.0942678,
0.008,0.0171053,0.606784,0.184104,0.0156485,0.606748,0.150168,-0.00853413,0.00518192,9.68085e-05,-1.31799,0.800267,0.0142813,0.0171674,0.606768,0.184127,0.0013197,-0.463978,-0.359959,0.736943,-0.0291627,-0.0824344,-0.0949758,
0.01,0.0170829,0.606797,0.184104,0.0156272,0.606761,0.150191,-0.0111701,0.00678246,0.000125371,-1.26804,0.770084,0.0135588,0.0171673,0.606769,0.184127,0.00164962,-0.455122,-0.381099,0.749796,-0.0287653,-0.0797493,-0.0908111,
0.012,0.0170555,0.606814,0.184104,0.015601,0.606778,0.150219,-0.0137062,0.00832263,0.000152489,-1.21948,0.74073,0.0128391,0.0171673,0.606769,0.184127,0.00197954,-0.457282,-0.363071,0.73232,-0.0291898,-0.0820507,-0.0949442,
0.014,0.0170232,0.606833,0.184105,0.0155702,0.606798,0.150253,-0.0161452,0.00980409,0.000178167,-1.1723,0.712225,0.0121534,0.0171673,0.606769,0.184127,0.00230947,-0.485585,-0.377612,0.763465,-0.0298848,-0.0884367,-0.0919901,
0.016,0.0169862,0.606856,0.184105,0.0155349,0.60682,0.150291,-0.0184898,0.0112285,0.000202474,-1.12645,0.684525,0.0114851,0.0171673,0.606769,0.184127,0.00263939,-0.478183,-0.382109,0.769488,-0.0292535,-0.0852051,-0.0907852,
0.018,0.0169448,0.606881,0.184106,0.0154953,0.606845,0.150335,-0.0207427,0.0125976,0.000225444,-1.08189,0.657611,0.0108337,0.0171673,0.606769,0.184127,0.00296932,-0.459487,-0.364267,0.746063,-0.0290951,-0.0810308,-0.0944057,
0.02,0.0168989,0.606909,0.184106,0.0154517,0.606873,0.150383,-0.0229064,0.0139128,0.000247111,-1.03859,0.63146,0.0101988,0.0171666,0.606769,0.184127,0.00329924,-0.450138,-0.353087,0.734198,-0.0291052,-0.0791372,-0.0966608,
